"TIME","GEO","S_ADJ","P_ADJ","INDIC","Value","Flag and Footnotes"
"2000M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.15",""
"2000M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.12",""
"2000M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.09",""
"2000M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.04",""
"2000M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.19",""
"2000M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.11",""
"2000M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.07",""
"2000M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.02",""
"2000M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.03",""
"2000M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.14",""
"2001M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.14",""
"2001M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.13",""
"2001M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.09",""
"2001M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.07",""
"2001M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.11",""
"2001M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.34",""
"2001M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.45",""
"2001M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.41",""
"2001M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.16",""
"2001M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.86",""
"2001M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.84",""
"2001M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.89",""
"2002M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.88",""
"2002M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.97",""
"2002M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.22",""
"2002M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.40",""
"2002M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.47",""
"2002M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.48",""
"2002M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.48",""
"2002M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.43",""
"2002M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.42",""
"2002M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.36",""
"2002M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","4.16",""
"2002M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.92",""
"2003M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.89",""
"2003M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.83",""
"2003M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.64",""
"2003M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.63",""
"2003M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.44",""
"2003M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","3.04",""
"2003M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.90",""
"2003M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.92",""
"2003M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.92",""
"2003M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.92",""
"2003M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.92",""
"2003M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.90",""
"2004M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.81",""
"2004M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.63",""
"2004M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.46",""
"2004M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.19",""
"2004M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.20",""
"2004M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.20",""
"2004M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.20",""
"2004M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.20",""
"2004M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.20",""
"2004M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.21",""
"2004M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.20",""
"2004M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.18",""
"2005M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.15",""
"2005M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.12",""
"2005M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.11",""
"2005M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.11",""
"2005M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.05",""
"2005M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.82",""
"2005M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.64",""
"2005M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.67",""
"2005M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.67",""
"2005M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.72",""
"2005M11","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.72",""
"2005M12","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","1.89",""
"2006M01","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.03",""
"2006M02","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.11",""
"2006M03","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.23",""
"2006M04","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.27",""
"2006M05","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.31",""
"2006M06","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.47",""
"2006M07","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.56",""
"2006M08","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.70",""
"2006M09","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.83",""
"2006M10","Sweden","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Not applicable","3-month interest rates (average)","2.96",""
